Method,Fold,Accuracy,N_Rules,Train_Time,Partition_Time
Default,1,0.9166666666666666,15,1.2791321277618408,0.0007872581481933594
Optimized (Sep+Hybrid),1,0.8833333333333333,15,1.0753912925720215,0.0018627643585205078
Optimized (Gini+Grid),1,0.8833333333333333,15,0.818659782409668,0.3881237506866455
Default,2,0.9152542372881356,15,1.5122325420379639,0.0008080005645751953
Optimized (Sep+Hybrid),2,0.9152542372881356,15,0.880683422088623,0.001795053482055664
Optimized (Gini+Grid),2,0.9152542372881356,6,0.10001468658447266,0.32079076766967773
Default,3,0.847457627118644,15,1.0845518112182617,0.0008029937744140625
Optimized (Sep+Hybrid),3,0.8135593220338984,15,1.1657309532165527,0.001764535903930664
Optimized (Gini+Grid),3,0.5932203389830508,15,2.1052353382110596,0.3168327808380127
